,"24-Hour Check-in,Breakfast,Buzzer/Wireless Intercom,Cable TV,Carbon Monoxide Detector,Cat(s),Dog(s),Dryer,Elevator in Building,Essentials,Family/Kid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Gym,Hair Dryer,Hangers,Heating,Hot Tub,Indoor Fireplace,Internet,Iron,Kitchen,Laptop Friendly Workspace,Pets live on this property,Safety Card,Shampoo,Smoke Detector,Suitable for Events,TV,Washer,Wheelchair Accessible,Wireless Internet"
Highland Park,"24-Hour Check-in,Air Conditioning,Breakfast,Cable TV,Carbon Monoxide Detector,Cat(s),Dog(s),Dryer,Essentials,Family/Kid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Hair Dryer,Hangers,Heating,Hot Tub,Indoor Fireplace,Internet,Iron,Kitchen,Laptop Friendly Workspace,Other pet(s),Pets Allowed,Pets live on this property,Safety Card,Shampoo,Smoke Detector,TV,Washer,Wheelchair Accessible,Wireless Internet"
Southeast Magnolia,"24-Hour Check-in,Air Conditioning,Cable TV,Carbon Monoxide Detector,Cat(s),Dog(s),Dryer,Elevator in Building,Essentials,Family/Kid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Gym,Hair Dryer,Hangers,Heating,Hot Tub,Indoor Fireplace,Internet,Iron,Kitchen,Laptop Friendly Workspace,Lock on Bedroom Door,Pets Allowed,Pets live on this property,Pool,Safety Card,Shampoo,Smoke Detector,Suitable for Events,TV,Washer,Wireless Internet"
Briarcliff,"24-Hour Check-in,Air Conditioning,Breakfast,Cable TV,Carbon Monoxide Detector,Cat(s),Dog(s),Dryer,Essentials,Family/Kid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Hair Dryer,Hangers,Heating,Hot Tub,Indoor Fireplace,Internet,Iron,Kitchen,Laptop Friendly Workspace,Pets Allowed,Pets live on this property,Safety Card,Shampoo,Smoke Detector,Suitable for Events,TV,Washer,Wheelchair Accessible,Wireless Internet"
West Queen Anne,"24-Hour Check-in,Air Conditioning,Breakfast,Buzzer/Wireless Intercom,Cable TV,Carbon Monoxide Detector,Cat(s),Dog(s),Dryer,Elevator in Building,Essentials,Family/Kid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Gym,Hair Dryer,Hangers,Heating,Hot Tub,Indoor Fireplace,Internet,Iron,Kitchen,Laptop Friendly Workspace,Lock on Bedroom Door,Other pet(s),Pets Allowed,Pets live on this property,Safety Card,Shampoo,Smoke Detector,Suitable for Events,TV,Washer,Wheelchair Accessible,Wireless Internet"
North Beach/Blue Ridge,",24-Hour Check-in,Air Conditioning,Breakfast,Buzzer/Wireless Intercom,Cable TV,Carbon Monoxide Detector,Cat(s),Dog(s),Dryer,Essentials,Family/Kid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Gym,Hair Dryer,Hangers,Heating,Hot Tub,Indoor Fireplace,Internet,Iron,Kitchen,Laptop Friendly Workspace,Pets Allowed,Pets live on this property,Safety Card,Shampoo,Smoke Detector,Suitable for Events,TV,Washer,Wireless Internet"
Crown Hill,"24-Hour Check-in,Air Conditioning,Breakfast,Buzzer/Wireless Intercom,Cable TV,Carbon Monoxide Detector,Cat(s),Dog(s),Dryer,Essentials,Family/Kid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Gym,Hangers,Heating,Hot Tub,Indoor Fireplace,Internet,Iron,Kitchen,Laptop Friendly Workspace,Lock on Bedroom Door,Pets Allowed,Pets live on this property,Safety Card,Shampoo,Smoke Detector,Smoking Allowed,Suitable for Events,TV,Washer,Wireless Internet"
Bitter Lake,"24-Hour Check-in,Breakfast,Buzzer/Wireless Intercom,Cable TV,Carbon Monoxide Detector,Cat(s),Dog(s),Dryer,Elevator in Building,Essentials,Family/Kid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Gym,Hair Dryer,Hangers,Heating,Hot Tub,Indoor Fireplace,Internet,Iron,Kitchen,Laptop Friendly Workspace,Lock on Bedroom Door,Pets Allowed,Pets live on this property,Pool,Safety Card,Shampoo,Smoke Detector,Smoking Allowed,Suitable for Events,TV,Washer,Wireless Internet"
Riverview,"24-Hour Check-in,Air Conditioning,Breakfast,Buzzer/Wireless Intercom,Cable TV,Carbon Monoxide Detector,Cat(s),Dog(s),Dryer,Essentials,Family/Kid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Hair Dryer,Hangers,Heating,Indoor Fireplace,Internet,Iron,Kitchen,Laptop Friendly Workspace,Pets Allowed,Pets live on this property,Safety Card,Shampoo,Smoke Detector,Suitable for Events,TV,Washer,Wireless Internet"
North Delridge,"24-Hour Check-in,Air Conditioning,Breakfast,Buzzer/Wireless Intercom,Cable TV,Carbon Monoxide Detector,Cat(s),Dog(s),Doorman,Dryer,Elevator in Building,Essentials,Family/Kid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Gym,Hair Dryer,Hangers,Heating,Hot Tub,Indoor Fireplace,Internet,Iron,Kitchen,Laptop Friendly Workspace,Lock on Bedroom Door,Pets Allowed,Pets live on this property,Pool,Safety Card,Shampoo,Smoke Detector,Smoking Allowed,Suitable for Events,TV,Washer,Washer / Dryer,Wheelchair Accessible,Wireless Internet"
Georgetown,"Air Conditioning,Buzzer/Wireless Intercom,Cable TV,Carbon Monoxide Detector,Dog(s),Dryer,Essentials,Family/Kid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Heating,Indoor Fireplace,Internet,Kitchen,Pets live on this property,Safety Card,Shampoo,Smoke Detector,TV,Washer,Wireless Internet"
