,"Pets live on this property,Suitable for Events,Wireless Internet,Iron,Elevator in Building,Family/Kid Friendly,TV,Dog(s),Fire Extinguisher,Indoor Fireplace,Hair Dryer,Safety Card,Hangers,Cable TV,Dryer,Hot Tub,Free Parking on Premises,Buzzer/Wireless Intercom,Washer,Breakfast,Carbon Monoxide Detector,Cat(s),Gym,Heating,Smoke Detector,Essentials,First Aid Kit,Shampoo,Laptop Friendly Workspace,Kitchen,Wheelchair Accessible,Internet,24-Hour Check-in"
Highland Park,"Wireless Internet,Pets live on this property,Pets Allowed,Iron,Family/Kid Friendly,Dog(s),TV,Fire Extinguisher,Indoor Fireplace,Hair Dryer,Safety Card,Cable TV,Other pet(s),Free Parking on Premises,Hot Tub,Hangers,Dryer,Washer,Carbon Monoxide Detector,Breakfast,Cat(s),Air Conditioning,Smoke Detector,Essentials,First Aid Kit,Heating,Shampoo,24-Hour Check-in,Kitchen,Internet,Wheelchair Accessible,Laptop Friendly Workspace"
Southeast Magnolia,"Pets live on this property,Iron,Suitable for Events,Wireless Internet,Pool,Pets Allowed,Family/Kid Friendly,Elevator in Building,Dog(s),Fire Extinguisher,Indoor Fireplace,TV,Hair Dryer,Dryer,Cable TV,Free Parking on Premises,Hot Tub,Safety Card,Hangers,Carbon Monoxide Detector,Cat(s),Washer,Gym,Essentials,First Aid Kit,Smoke Detector,Air Conditioning,Heating,Shampoo,Lock on Bedroom Door,Internet,Kitchen,Laptop Friendly Workspace,24-Hour Check-in"
Briarcliff,"Pets live on this property,Iron,Wireless Internet,Suitable for Events,Pets Allowed,Family/Kid Friendly,Hair Dryer,TV,Indoor Fireplace,Dog(s),Fire Extinguisher,Safety Card,Cable TV,Hot Tub,Free Parking on Premises,Dryer,Hangers,Carbon Monoxide Detector,Breakfast,Cat(s),Washer,Smoke Detector,Heating,First Aid Kit,Essentials,Air Conditioning,Shampoo,Internet,Kitchen,24-Hour Check-in,Laptop Friendly Workspace,Wheelchair Accessible"
West Queen Anne,"Wireless Internet,Pets Allowed,Iron,Pets live on this property,Suitable for Events,Family/Kid Friendly,Elevator in Building,Indoor Fireplace,Dog(s),Hair Dryer,Fire Extinguisher,TV,Dryer,Hangers,Safety Card,Other pet(s),Cable TV,Hot Tub,Free Parking on Premises,Cat(s),Buzzer/Wireless Intercom,Gym,Carbon Monoxide Detector,Washer,Breakfast,Air Conditioning,Heating,Essentials,Smoke Detector,First Aid Kit,Shampoo,Lock on Bedroom Door,24-Hour Check-in,Wheelchair Accessible,Kitchen,Internet,Laptop Friendly Workspace"
North Beach/Blue Ridge,"Pets Allowed,Suitable for Events,Iron,Pets live on this property,Wireless Internet,Family/Kid Friendly,,Dog(s),Indoor Fireplace,Fire Extinguisher,Hair Dryer,TV,Free Parking on Premises,Cable TV,Hot Tub,Hangers,Safety Card,Dryer,Washer,Cat(s),Carbon Monoxide Detector,Breakfast,Gym,Buzzer/Wireless Intercom,Air Conditioning,Essentials,Smoke Detector,Heating,First Aid Kit,Shampoo,Internet,Kitchen,24-Hour Check-in,Laptop Friendly Workspace"
Crown Hill,"Suitable for Events,Pets live on this property,Iron,Pets Allowed,Wireless Internet,Smoking Allowed,Family/Kid Friendly,TV,Dog(s),Fire Extinguisher,Indoor Fireplace,Hot Tub,Cable TV,Free Parking on Premises,Dryer,Hangers,Safety Card,Washer,Buzzer/Wireless Intercom,Breakfast,Gym,Cat(s),Carbon Monoxide Detector,Essentials,Air Conditioning,Heating,First Aid Kit,Smoke Detector,Lock on Bedroom Door,Shampoo,24-Hour Check-in,Internet,Kitchen,Laptop Friendly Workspace"
Bitter Lake,"Pets live on this property,Pool,Iron,Wireless Internet,Suitable for Events,Pets Allowed,Smoking Allowed,Elevator in Building,Family/Kid Friendly,TV,Indoor Fireplace,Dog(s),Hair Dryer,Fire Extinguisher,Safety Card,Free Parking on Premises,Hot Tub,Cable TV,Dryer,Hangers,Breakfast,Buzzer/Wireless Intercom,Carbon Monoxide Detector,Washer,Cat(s),Gym,Essentials,Smoke Detector,First Aid Kit,Heating,Lock on Bedroom Door,Shampoo,Internet,Laptop Friendly Workspace,Kitchen,24-Hour Check-in"
Riverview,"Iron,Suitable for Events,Pets live on this property,Wireless Internet,Pets Allowed,Family/Kid Friendly,Fire Extinguisher,TV,Hair Dryer,Indoor Fireplace,Dog(s),Safety Card,Cable TV,Dryer,Hangers,Free Parking on Premises,Buzzer/Wireless Intercom,Breakfast,Carbon Monoxide Detector,Washer,Cat(s),First Aid Kit,Air Conditioning,Essentials,Smoke Detector,Heating,Shampoo,Kitchen,24-Hour Check-in,Internet,Laptop Friendly Workspace"
North Delridge,"Air Conditioning,Essentials,First Aid Kit,Smoke Detector,Heating,Cat(s),Breakfast,Carbon Monoxide Detector,Gym,Washer,Buzzer/Wireless Intercom,Safety Card,Doorman,Free Parking on Premises,Hangers,Dryer,Cable TV,Hot Tub,Hair Dryer,TV,Fire Extinguisher,Indoor Fireplace,Dog(s),Smoking Allowed,Family/Kid Friendly,Elevator in Building,Pets Allowed,Suitable for Events,Iron,Wireless Internet,Pool,Pets live on this property,Wheelchair Accessible,Kitchen,Laptop Friendly Workspace,Internet,Washer / Dryer,24-Hour Check-in,Lock on Bedroom Door,Shampoo"
Georgetown,"First Aid Kit,Air Conditioning,Heating,Essentials,Smoke Detector,Washer,Buzzer/Wireless Intercom,Carbon Monoxide Detector,Safety Card,Dryer,Free Parking on Premises,Cable TV,Indoor Fireplace,Fire Extinguisher,TV,Dog(s),Family/Kid Friendly,Wireless Internet,Pets live on this property,Internet,Kitchen,Shampoo"
